time,callsign,latitude,longitude,tas,heading,altitude
2016-08-15 17:01:06,A0,37.67177,-122.10997,26,76,14.19
2016-08-15 17:01:07,A0,37.67193,-122.10912,155,93,14.25
2016-08-15 17:01:08,A0,37.67209,-122.10826000000002,155,93,14.25
2016-08-15 17:01:09,A0,37.67225,-122.10741000000002,155,93,14.31
2016-08-15 17:01:10,A0,37.67063,-122.10676,153,179,13.88
2016-08-15 17:01:11,A0,37.67063,-122.10593,150,106,13.75
2016-08-15 17:01:12,A0,37.67063,-122.10509,148,106,13.69
2016-08-15 17:01:13,A0,37.67064,-122.10425,148,106,13.56
2016-08-15 17:01:14,A0,37.67064,-122.10341,149,106,13.5
2016-08-15 17:01:15,A0,37.66919,-122.10258,150,172,13.69
2016-08-15 17:01:16,A0,37.66908,-122.10174,150,116,13.63
2016-08-15 17:01:17,A0,37.66897,-122.1009,191,116,13.56
2016-08-15 17:01:18,A0,37.66886,-122.10006,151,116,13.5
2016-08-15 17:01:19,A0,37.66775,-122.09941,152,171,13.75
2016-08-15 17:01:20,A0,37.66756,-122.09858,152,122,13.69
2016-08-15 17:01:21,A0,37.66737,-122.09775,153,122,13.63
2016-08-15 17:01:22,A0,37.66718,-122.09693,153,123,13.56
2016-08-15 17:01:23,A0,37.66698,-122.0961,154,123,13.5
2016-08-15 17:01:24,A0,37.66582,-122.09543,155,172,13.75
2016-08-15 17:01:25,A0,37.66555,-122.09461,156,129,13.69
2016-08-15 17:01:26,A0,37.66528,-122.0938,199,129,13.69
2016-08-15 17:01:27,A0,37.66501,-122.09298,157,129,13.63
2016-08-15 17:01:28,A0,37.6635,-122.09302,157,198,13.81
2016-08-15 17:01:29,A0,37.66312,-122.09228,157,139,13.75
2016-08-15 17:01:30,A0,37.66274,-122.09153,156,139,13.69
2016-08-15 17:01:31,A0,37.66236,-122.09078999999998,156,139,13.69
2016-08-15 17:01:32,A0,37.66198,-122.09005,156,139,13.63
2016-08-15 17:01:34,A0,37.65935,-122.09168,152,222,13.75
2016-08-15 17:01:35,A0,37.6588,-122.09126,209,165,13.75
2016-08-15 17:01:36,A0,37.65824,-122.09084,208,166,13.69
2016-08-15 17:01:38,A0,37.65599,-122.09446,150,248,13.0
2016-08-15 17:01:39,A0,37.65532,-122.09461,151,206,12.88
2016-08-15 17:01:40,A0,37.65465,-122.09475,237,206,12.75
2016-08-15 17:01:41,A0,37.65399,-122.0949,158,207,12.69
2016-08-15 17:01:42,A0,37.65413,-122.0989,165,289,12.81
2016-08-15 17:01:43,A0,37.65359,-122.09959,172,242,12.75
2016-08-15 17:01:45,A0,37.6525,-122.10099,219,242,12.56
2016-08-15 17:01:46,A0,37.65196,-122.10168,172,242,12.44
2016-08-15 17:01:48,A0,37.65334,-122.10477,188,316,12.88
2016-08-15 17:01:49,A0,37.65306,-122.10567,187,265,12.88
2016-08-15 17:01:52,A0,37.65488,-122.10858,185,325,13.0
2016-08-15 17:01:53,A0,37.65487,-122.10951,185,286,13.0
2016-08-15 17:01:54,A0,37.65485,-122.11044,182,285,13.06
2016-08-15 17:01:56,A0,37.65673,-122.11162,163,350,13.0
2016-08-15 17:01:57,A0,37.6569,-122.11249,161,300,13.0
2016-08-15 17:01:58,A0,37.65708,-122.11336,172,301,13.06
2016-08-15 17:01:59,A0,37.65725,-122.11423,159,300,13.06
2016-08-15 17:02:01,A0,37.65884000000001,-122.11525,158,349,13.94
2016-08-15 17:02:02,A0,37.65913,-122.11605,157,311,14.06
2016-08-15 17:02:03,A0,37.65943,-122.11686,157,311,14.25
2016-08-15 17:02:04,A0,37.65972,-122.11766,157,311,14.38
2016-08-15 17:02:05,A0,37.66002,-122.11846,157,312,14.56
2016-08-15 17:02:06,A0,37.66123,-122.11856,156,13,14.31
2016-08-15 17:02:07,A0,37.66161,-122.11929,156,320,14.44
2016-08-15 17:02:08,A0,37.66199,-122.12003,174,319,14.56
2016-08-15 17:02:09,A0,37.66237,-122.12076,156,320,14.75
2016-08-15 17:02:10,A0,37.66317,-122.12139,158,344,13.5
2016-08-15 17:02:11,A0,37.66359,-122.12211,158,323,13.5
2016-08-15 17:02:12,A0,37.66401,-122.12284,159,322,13.5
2016-08-15 17:02:13,A0,37.66443,-122.12356,159,323,13.56
2016-08-15 17:02:14,A0,37.66485,-122.12429,159,322,13.56
2016-08-15 17:02:15,A0,37.66603,-122.12387,158,32,13.88
2016-08-15 17:02:16,A0,37.66652,-122.1245,176,331,13.94
2016-08-15 17:02:17,A0,37.667,-122.12513,175,330,13.94
2016-08-15 17:02:19,A0,37.66871,-122.12404,151,43,14.0
2016-08-15 17:02:20,A0,37.66926,-122.12443,146,347,14.06
2016-08-15 17:02:21,A0,37.66982,-122.12482,142,348,14.06
2016-08-15 17:02:22,A0,37.67037,-122.1252,141,348,14.13
2016-08-15 17:02:23,A0,37.67093,-122.12559,142,348,14.19
2016-08-15 17:02:24,A0,37.67148,-122.12598,141,347,14.19
2016-08-15 17:02:25,A0,37.67204,-122.12637,142,348,14.25
2016-08-15 17:02:26,A0,37.67259,-122.12675,141,348,14.25
2016-08-15 17:02:27,A0,37.67315,-122.12714,142,348,14.31
2016-08-15 17:02:28,A0,37.6737,-122.12753,141,347,14.38
2016-08-15 17:02:29,A0,37.67426,-122.12792,141,348,14.38
