iter	R2	RMSE
0	0.09159804396	0.783390696
1	0.1804510701	0.7440923212
2	0.2534519871	0.7101796947
3	0.3112635811	0.6821280412
4	0.3632354388	0.6558866955
5	0.4043592392	0.6343538555
6	0.4393999328	0.6154119878
7	0.4706555256	0.5980101716
8	0.4970447846	0.5829133972
9	0.5197493552	0.5696044287
10	0.5415345505	0.5565352604
11	0.5621085447	0.5439044529
12	0.5771667894	0.5344707276
13	0.5890177427	0.5269275617
14	0.6058201948	0.5160437996
15	0.6146852331	0.5102079314
16	0.625026332	0.5033148735
17	0.6358875015	0.495972015
18	0.6454344711	0.4894266735
19	0.6525306622	0.4845042849
20	0.6590374501	0.4799463786
21	0.66492714	0.475783093
22	0.6695073124	0.4725201208
23	0.6738638817	0.4693953986
24	0.6807158406	0.4644383411
25	0.6838062729	0.4621851674
26	0.6903569153	0.4573725242
27	0.6949361362	0.453977953
28	0.698880017	0.451033882
29	0.7016413651	0.4489610703
30	0.7039211558	0.4472425009
31	0.7075042799	0.4445280156
32	0.711610251	0.4413969099
33	0.7135673845	0.4398966081
34	0.7160263509	0.4380043262
35	0.7181078885	0.4363960795
36	0.7211956459	0.4339994258
37	0.7236521318	0.4320832574
38	0.7259027008	0.4303202238
39	0.7275830759	0.4289991399
40	0.7308074602	0.4264527202
41	0.7327234038	0.4249323988
42	0.7339231133	0.423977641
43	0.7363513173	0.4220386079
44	0.7383111295	0.4204670862
45	0.7398853036	0.4192005311
46	0.7415412322	0.4178640543
47	0.7426114659	0.416998005
48	0.745288669	0.4148236529
49	0.7481568722	0.4124814584
50	0.750053784	0.410925093
51	0.7518942127	0.4094094156
52	0.753990223	0.4076763919
53	0.7552774362	0.406608437
54	0.7575834727	0.4046881538
55	0.7598421832	0.4027984052
56	0.7615258268	0.4013839984
57	0.763199312	0.3999731689
58	0.7637657218	0.3994945294
59	0.7651268737	0.3983419483
60	0.7669806466	0.3967668462
61	0.7685425194	0.395434894
62	0.7701559586	0.3940542389
63	0.7716771646	0.3927480645
64	0.7730890024	0.3915318997
65	0.7750613517	0.3898265546
66	0.77732441	0.3878606177
67	0.7783790955	0.3869409918
68	0.7795244985	0.3859397832
69	0.782042497	0.3837295911
70	0.7836308039	0.3823288713
71	0.7848238517	0.3812733441
72	0.7856116708	0.3805747308
73	0.7875246503	0.3788729987
74	0.7888908256	0.3776529945
75	0.7902296491	0.3764535798
76	0.7913011376	0.3754909031
77	0.7927206841	0.3742117003
78	0.7943299444	0.3727562308
79	0.7953586008	0.3718228944
80	0.7958515877	0.3713747584
81	0.7971046297	0.3702332741
82	0.7980469025	0.3693725676
83	0.7989085301	0.3685837661
84	0.7999320974	0.367644513
85	0.8011604548	0.3665141613
86	0.8025602514	0.3652217841
87	0.8038257015	0.3640494952
88	0.8051675094	0.3628023322
89	0.8059212625	0.3620998611
90	0.807149582	0.3609521818
91	0.8077578092	0.3603825322
92	0.8087523306	0.3594491448
93	0.8096037293	0.3586481523
94	0.8101210814	0.3581605545
95	0.8111068444	0.3572296432
96	0.8125169302	0.3558937874
97	0.8140544045	0.3544315115
98	0.815193928	0.3533438178
99	0.8162805405	0.3523035006
100	0.8178312414	0.3508135249
101	0.8185893994	0.3500827482
102	0.8193046721	0.3493919067
103	0.8202731688	0.3484543075
104	0.8211708074	0.3475830477
105	0.8218257319	0.3469459887
106	0.8225669388	0.3462235871
107	0.8232005476	0.3456048566
108	0.824205171	0.3446215466
109	0.8249158204	0.3439242761
110	0.825736093	0.3431176844
111	0.8263357033	0.3425268731
112	0.8267932073	0.3420753964
113	0.8276718198	0.3412066839
114	0.8284339645	0.3404513314
115	0.8293862667	0.3395051543
