iter	Passed	Remaining
0	12	12132
1	22	11044
2	31	10394
3	36	9161
4	41	8275
5	48	7963
6	52	7500
7	58	7271
8	62	6910
9	67	6673
10	71	6402
11	74	6138
12	77	5916
13	81	5726
14	84	5563
15	87	5368
16	90	5220
17	93	5076
18	96	4957
19	98	4844
20	101	4749
21	104	4649
22	107	4567
23	110	4489
24	113	4415
25	115	4327
26	118	4257
27	121	4210
28	124	4154
29	126	4099
30	129	4053
31	132	4008
32	134	3944
33	137	3916
34	140	3874
35	143	3850
36	146	3823
37	149	3784
38	152	3756
39	153	3693
40	155	3635
41	156	3579
42	158	3524
43	159	3473
44	161	3424
45	162	3375
46	164	3329
47	165	3286
48	167	3244
49	168	3203
50	170	3164
51	171	3128
52	172	3090
53	174	3056
54	176	3032
55	177	2999
56	179	2969
57	180	2939
58	182	2908
59	183	2880
60	185	2851
61	186	2824
62	188	2800
63	189	2774
64	191	2750
65	193	2735
66	195	2727
67	198	2716
68	200	2708
69	203	2700
70	205	2690
71	208	2685
72	211	2680
73	214	2679
74	217	2686
75	220	2683
76	223	2676
77	226	2677
78	230	2685
79	234	2695
80	237	2697
81	240	2688
82	243	2694
83	246	2685
84	248	2679
85	251	2677
86	255	2678
87	257	2671
88	260	2665
89	263	2660
90	265	2654
91	268	2646
92	271	2644
93	273	2639
94	277	2639
95	279	2630
96	282	2629
97	285	2625
98	287	2619
99	290	2618
100	293	2611
101	295	2605
102	298	2597
103	299	2584
104	301	2568
105	302	2553
106	304	2541
107	305	2526
108	307	2513
109	308	2499
110	310	2485
111	311	2472
112	313	2459
113	315	2448
114	317	2445
115	320	2441
116	323	2444
117	326	2438
118	329	2437
119	332	2438
120	333	2425
121	335	2413
122	336	2401
123	338	2389
124	339	2378
125	341	2368
126	343	2364
127	346	2363
128	350	2365
129	353	2363
130	356	2363
131	358	2358
132	361	2357
133	363	2348
134	364	2338
135	366	2328
136	368	2318
137	370	2315
138	372	2308
139	375	2305
140	378	2303
141	380	2300
142	382	2290
143	383	2281
144	385	2271
145	388	2272
146	391	2270
147	394	2273
148	398	2275
149	401	2273
150	404	2273
151	407	2273
152	410	2273
153	413	2270
154	415	2266
155	418	2263
156	421	2261
157	424	2262
158	427	2260
159	429	2256
160	431	2251
161	433	2243
162	435	2234
163	436	2226
164	438	2217
165	439	2208
166	441	2200
167	443	2195
168	444	2186
169	446	2179
170	447	2170
171	449	2162
172	450	2154
173	452	2146
174	453	2138
175	455	2130
176	456	2122
177	457	2114
178	459	2107
179	460	2099
180	462	2092
181	463	2084
182	465	2078
183	467	2073
184	469	2068
185	471	2061
186	473	2057
187	477	2060
188	479	2055
189	480	2050
190	483	2050
191	487	2050
192	490	2050
193	492	2044
194	494	2042
195	497	2041
196	500	2040
197	503	2037
198	505	2034
199	508	2033
200	511	2032
201	513	2029
202	517	2030
203	520	2029
204	522	2027
205	525	2024
206	527	2022
207	530	2019
208	533	2018
209	534	2011
210	536	2004
211	539	2004
212	542	2004
213	545	2004
214	547	1999
215	550	1999
216	554	1999
217	557	1999
218	561	2000
219	564	2001
220	566	1996
221	567	1990
222	569	1984
223	571	1978
224	572	1971
225	574	1965
226	579	1974
227	582	1972
228	587	1977
229	589	1973
230	590	1966
231	592	1961
232	594	1956
233	595	1950
234	597	1943
235	598	1937
236	599	1931
237	601	1925
238	603	1922
239	605	1916
240	606	1911
241	608	1905
242	610	1902
243	613	1901
244	616	1899
245	619	1897
246	621	1896
247	624	1892
248	627	1891
249	629	1889
250	632	1886
251	634	1884
252	637	1882
253	640	1880
254	642	1878
255	646	1879
256	649	1878
257	652	1876
258	655	1875
259	658	1874
260	661	1871
261	663	1868
262	666	1867
263	668	1862
264	670	1858
265	674	1860
266	681	1871
267	684	1869
268	687	1867
269	690	1865
270	692	1861
271	693	1857
272	698	1859
273	700	1854
274	701	1849
275	703	1844
276	704	1838
277	705	1833
278	707	1827
279	708	1822
280	710	1817
281	711	1812
282	713	1807
283	714	1802
284	716	1796
285	717	1791
286	719	1786
287	720	1781
288	722	1777
289	723	1772
290	725	1767
291	726	1762
292	728	1756
293	729	1752
294	731	1747
295	732	1742
296	734	1737
297	735	1732
298	737	1728
299	738	1723
300	741	1722
301	744	1721
302	748	1720
303	751	1719
304	753	1716
305	757	1718
306	761	1718
307	764	1717
308	766	1715
309	769	1712
310	773	1712
311	775	1710
312	778	1708
313	781	1707
314	784	1706
315	787	1704
316	790	1703
317	792	1700
318	795	1697
319	796	1693
320	798	1688
321	799	1684
322	802	1681
323	805	1679
324	809	1680
325	812	1679
326	815	1677
327	817	1674
328	820	1673
329	823	1671
330	826	1670
331	829	1668
332	832	1667
333	834	1663
334	837	1661
335	839	1659
336	842	1657
337	844	1653
338	845	1648
339	847	1645
340	851	1645
341	852	1640
342	854	1636
343	855	1631
344	858	1629
345	859	1625
346	861	1621
347	862	1616
348	864	1612
349	866	1608
350	867	1604
351	869	1600
352	870	1595
353	872	1591
354	873	1587
355	877	1586
356	881	1587
357	883	1585
358	887	1583
359	890	1582
360	893	1581
361	896	1579
362	898	1576
363	901	1575
364	904	1573
365	907	1571
366	909	1569
367	913	1568
368	915	1565
369	918	1563
370	922	1563
371	928	1568
372	930	1564
373	932	1560
374	935	1559
375	939	1558
376	942	1557
377	944	1554
378	946	1550
379	947	1546
380	949	1542
381	953	1543
382	957	1542
383	960	1541
384	965	1541
385	968	1540
386	969	1536
387	972	1533
388	974	1530
389	977	1528
390	979	1524
391	980	1520
392	982	1516
393	983	1512
394	985	1508
395	986	1504
396	987	1500
397	989	1496
398	991	1493
399	993	1489
400	995	1486
401	996	1482
402	998	1478
403	999	1474
404	1001	1471
405	1002	1467
406	1004	1463
407	1005	1459
408	1007	1455
409	1010	1453
410	1012	1451
411	1015	1449
412	1018	1448
413	1022	1447
414	1025	1445
415	1028	1444
416	1031	1442
417	1034	1439
418	1037	1438
419	1040	1436
420	1042	1434
421	1046	1432
422	1049	1431
423	1052	1429
424	1054	1427
425	1057	1424
426	1059	1421
427	1061	1418
428	1064	1416
429	1067	1414
430	1069	1412
431	1072	1409
432	1075	1407
433	1077	1405
434	1081	1404
435	1085	1404
436	1088	1401
437	1090	1399
438	1094	1398
439	1096	1395
440	1099	1393
441	1103	1392
442	1105	1390
443	1107	1387
444	1109	1383
445	1110	1379
446	1112	1375
447	1113	1372
448	1115	1368
449	1116	1365
450	1118	1361
451	1120	1357
452	1121	1354
453	1123	1350
454	1124	1347
455	1126	1343
456	1127	1340
457	1130	1337
458	1133	1335
459	1135	1333
460	1137	1329
461	1138	1326
462	1140	1322
463	1141	1318
464	1143	1315
465	1145	1312
466	1146	1308
467	1148	1305
468	1150	1302
469	1152	1300
470	1155	1297
471	1158	1296
472	1162	1295
473	1165	1293
474	1168	1291
475	1171	1289
476	1174	1287
477	1176	1284
478	1179	1283
479	1182	1281
480	1186	1280
481	1190	1279
482	1192	1276
483	1194	1273
484	1195	1269
485	1199	1268
486	1202	1266
487	1205	1264
488	1208	1262
489	1210	1260
490	1217	1261
491	1220	1260
492	1224	1259
493	1227	1257
494	1230	1255
495	1233	1253
496	1236	1251
497	1239	1249
498	1242	1247
499	1244	1244
500	1245	1240
501	1246	1237
502	1248	1233
503	1249	1230
504	1251	1226
505	1253	1223
506	1254	1220
507	1256	1216
508	1258	1213
509	1259	1210
510	1261	1206
511	1263	1204
512	1264	1200
513	1266	1197
514	1269	1195
515	1275	1196
516	1278	1194
517	1280	1191
518	1283	1189
519	1286	1187
520	1290	1186
521	1293	1184
522	1296	1182
523	1299	1180
524	1302	1178
525	1306	1176
526	1308	1174
527	1310	1171
528	1313	1169
529	1314	1165
530	1316	1162
531	1318	1160
532	1321	1157
533	1323	1154
534	1324	1151
535	1326	1147
536	1329	1145
537	1332	1144
538	1334	1141
539	1337	1139
540	1340	1137
541	1343	1135
542	1347	1133
543	1350	1131
544	1352	1129
545	1355	1126
546	1358	1124
547	1361	1122
548	1364	1120
549	1367	1118
550	1370	1116
551	1372	1113
552	1373	1110
553	1375	1107
554	1376	1103
555	1378	1100
556	1379	1097
557	1380	1093
558	1382	1090
559	1383	1087
560	1385	1083
561	1386	1080
562	1387	1077
563	1389	1074
564	1390	1070
565	1392	1067
566	1393	1064
567	1395	1061
568	1397	1058
569	1398	1055
570	1400	1051
571	1401	1048
572	1403	1045
573	1404	1042
574	1406	1039
575	1407	1036
576	1408	1032
577	1411	1030
578	1412	1027
579	1415	1025
580	1417	1022
581	1420	1020
582	1422	1017
583	1425	1015
584	1428	1013
585	1431	1011
586	1434	1009
587	1437	1006
588	1439	1004
589	1442	1002
590	1446	1000
591	1449	999
592	1452	996
593	1455	994
594	1457	992
595	1460	990
596	1463	988
597	1466	986
598	1469	983
599	1471	981
600	1475	979
601	1477	976
602	1480	975
603	1483	972
604	1486	970
605	1489	968
606	1493	966
607	1496	964
608	1499	962
609	1502	960
610	1504	957
611	1505	954
612	1507	951
613	1508	948
614	1509	945
615	1511	942
616	1512	939
617	1514	935
618	1515	932
619	1517	929
620	1518	926
621	1520	923
622	1521	920
623	1522	917
624	1524	914
625	1525	911
626	1527	908
627	1530	906
628	1533	904
629	1535	902
630	1539	900
631	1542	898
632	1546	896
633	1549	894
634	1552	892
635	1555	890
636	1558	888
637	1562	886
638	1565	884
639	1568	882
640	1571	880
641	1575	878
642	1578	876
643	1580	873
644	1583	871
645	1586	869
646	1590	867
647	1593	865
648	1596	863
649	1599	861
650	1601	858
651	1604	856
652	1607	854
653	1610	852
654	1613	849
655	1615	847
656	1618	845
657	1621	842
658	1624	840
659	1627	838
660	1630	836
661	1633	834
662	1636	831
663	1639	829
664	1641	827
665	1644	824
666	1648	822
667	1651	820
668	1653	818
669	1655	815
670	1657	812
671	1659	809
672	1660	806
673	1662	803
674	1663	801
675	1665	798
676	1667	795
677	1668	792
678	1670	789
679	1671	786
680	1672	783
681	1674	780
682	1675	777
683	1677	774
684	1680	772
685	1681	769
686	1683	766
687	1685	764
688	1687	761
689	1689	759
690	1691	756
691	1693	753
692	1694	750
693	1696	747
694	1698	745
695	1702	743
696	1705	741
697	1708	739
698	1711	737
699	1715	735
700	1718	733
701	1722	731
702	1725	728
703	1729	726
704	1731	724
705	1734	722
706	1737	719
707	1739	717
708	1742	715
709	1745	713
710	1748	710
711	1751	708
712	1754	706
713	1757	703
714	1759	701
715	1762	698
716	1764	696
717	1768	694
718	1771	692
719	1773	689
720	1776	687
721	1779	685
722	1781	682
723	1784	680
724	1787	677
725	1790	675
726	1793	673
727	1797	671
728	1799	668
729	1800	665
730	1802	663
731	1803	660
732	1805	657
733	1806	654
734	1808	651
735	1809	649
736	1811	646
737	1813	643
738	1814	640
739	1816	638
740	1817	635
741	1819	632
742	1821	630
743	1822	627
744	1824	624
745	1825	621
746	1827	618
747	1828	616
748	1831	613
749	1833	611
750	1835	608
751	1836	605
752	1839	603
753	1841	600
754	1844	598
755	1846	596
756	1849	593
757	1852	591
758	1855	589
759	1858	586
760	1860	584
761	1863	582
762	1866	579
763	1869	577
764	1872	575
765	1877	573
766	1880	571
767	1884	569
768	1888	567
769	1889	564
770	1891	561
771	1895	559
772	1898	557
773	1901	555
774	1904	552
775	1907	550
776	1909	548
777	1913	545
778	1918	544
779	1921	541
780	1924	539
781	1928	537
782	1932	535
783	1936	533
784	1939	531
785	1941	528
786	1943	526
787	1944	523
788	1946	520
789	1947	517
790	1949	515
791	1950	512
792	1952	509
793	1953	506
794	1955	504
795	1956	501
796	1958	498
797	1959	496
798	1963	493
799	1965	491
800	1968	489
801	1971	486
802	1973	484
803	1976	481
804	1978	479
805	1980	476
806	1984	474
807	1986	472
808	1988	469
809	1992	467
810	1995	465
811	1999	462
812	2002	460
813	2005	458
814	2008	455
815	2011	453
816	2014	451
817	2017	448
818	2020	446
819	2024	444
820	2027	442
821	2030	439
822	2032	437
823	2035	434
824	2038	432
825	2041	429
826	2044	427
827	2047	425
828	2049	422
829	2053	420
830	2055	418
831	2058	415
832	2061	413
833	2065	411
834	2068	408
835	2069	406
836	2071	403
837	2072	400
838	2073	397
839	2075	395
840	2077	392
841	2078	390
842	2080	387
843	2081	384
844	2083	382
845	2084	379
846	2086	376
847	2087	374
848	2089	371
849	2090	368
850	2092	366
851	2093	363
852	2095	361
853	2096	358
854	2098	355
855	2099	353
856	2101	350
857	2102	347
858	2103	345
859	2106	342
860	2107	340
861	2109	337
862	2112	335
863	2115	332
864	2118	330
865	2121	328
866	2124	325
867	2127	323
868	2129	321
869	2131	318
870	2132	315
871	2134	313
872	2138	311
873	2140	308
874	2143	306
875	2145	303
876	2149	301
877	2152	299
878	2155	296
879	2158	294
880	2161	291
881	2164	289
882	2166	287
883	2168	284
884	2171	282
885	2173	279
886	2176	277
887	2178	274
888	2181	272
889	2184	270
890	2187	267
891	2190	265
892	2193	262
893	2197	260
894	2199	257
895	2200	255
896	2201	252
897	2204	250
898	2206	247
899	2207	245
900	2209	242
901	2211	240
902	2213	237
903	2215	235
904	2216	232
905	2217	230
