,Synopsis
2510,B757-200 NOSEWHEEL STEERING FAILS ON ENTRY TO RWY.
1189,C172 instructor pilot reported detecting exhaust fumes while in the traffic pattern and elected to depart the pattern and return to home base.
336,AN ACR PLT RPTS THAT MIA TERMINAL 'A' GATE '10' IS NOT SHOWN ALTHOUGH IT CURRENTLY EXISTS.
2348,During an installation of a B777-200 Nose Landing Gear (NLG) Lock Link; the sequence valve input lever was not positioned to the vertical (down) position prior to connecting a two piece control rod from the NLG lock link to the input lever. When the NLG was operated; the NLG wheel well doors closed while the gear was retracting.
772,An air crew on a departure were cleared to 6;000 feet. The Captain was confused about the transition level procedure and set the standard altimeter setting initially until he was corrected. ATC then cleared them to Flight Level 080; which they overshot because of not having the correct standard altimeter setting.
3049,A C172 EXPERIENCED AN ELECTRICAL SYS ANOMALY WITH VARIOUS SYS FAILURES CAUSING THE PLT TO DECLARE AN EMER AND DIVERT.
2109,C-172 flight instructor describes the circumstances leading up to a runway excursion during a student landing.
2617,PA28 pilot reports entering a spin during a visual approach in severe turbulence and recovering 250 FT AGL.
1086,A helicopter pilot took off and crossed an active runway contrary to his tower clearance.
1117,C172 pilot experiences an alternator failure shortly after takeoff in IMC and notifies ATC. Vectors are provided for an ILS approach and a safe landing ensues. On the ground it is discovered that the alternator faults between 2;000 and 2;300 RPM and is normal at other RPM's.
13,A ZAU Controller questioned a ZMP Controller after an aircraft just handed off overshot its cleared altitude of FL410 and leveled at FL430.
1276,EMB-175 flight crew reported an excursion from assigned altitude after receiving an RA on approach into LAX.
1769,Decathlon pilot reported a propeller strike after aggressive application of brakes while taxiing.
1728,EMB170 Captain arriving ORD from the south describes a TCAS RA to descend generated by a skydiving aircraft at 14;000 FT; just as the skydivers exit the aircraft. ATC took responsibility for the close call; citing a new Controller on the position.
1462,ABE LCL CTLR EXPERIENCED OPERROR WHEN CLRING ACR FOR DEP ON RWY 6 WHEN LNDG SMA HAD NOT YET CLRED RWY; ACR INITIATED SELF ABORT.
291,EMB145 First Officer describes a ground conflict that developed during taxi for takeoff with the reporter on ORD Tower frequency and the conflicting MD80 inbound to the gate on Ground Control frequency.
1158,A B767-300's L ENG FUEL FILTER EICAS message alerted. When the message became a status message; the QRH advised landing. The crew diverted to a nearby airport for an emergency landing.
1033,MD11 Captain reported encountering severe clear air turbulence at FL380 near SLN VOR which resulted in a momentary overspeed and stick shaker.
550,A319 CAPTAIN REPORTS IMPROPER ADR DEFERRAL AND PRESSURE FROM MAINT CTL TO ACCEPT AN ACFT REPORTER DEEMED UNFIT FOR SERVICE.
2264,A B737-700 HAD AN EYEBROW WINDOW MODIFICATION PER AUTH ACFT CHANGE ORDER. COVER SHEET ON PROCS DID NOT INDICATE THIS WAS AN ALTERATION AND REQUIRED AN AIRWORTHINESS RELEASE SIGNED IN LOGBOOK.
340,MD-83 Captain reported 'R OIL STRAINER CLOG' light after takeoff. He returned to departure airport and noted this was a recurring problem.
822,A B737-300 CAPT REPORTS AN ACR DE-ICE CREW'S FAILURE TO APPLY TYPE IV FLUID IN HEAVY SNOW BECAUSE THE FLUID WAS NOT AVAILABLE. THE FLT WAS CANCELED.
2439,A CRJ200's engine displayed high ITT and after an audible bang began vibrating during climb. While completing the QRH procedure the vibration stopped. After declaring an emergency the aircraft was returned to the departure airport with the engine running.
212,AN MD80 CREW OPERATES WITH 1 PACK ON A HOT DAY.
2277,SCT TRACON Controller reported it is difficult for aircraft to meet the PHIYA crossing restriction from RHODE on the DSNEE 1 Arrival which requires a 4000 foot descent in 11 miles.
2600,A300 FIRST OFFICER REPORTS ENCOUNTERING WAVE ACTION AND TURBULENCE LEVELING AT FL340. AIRCRAFT EXCEEDS VMO BY 25 KNOTS AND CLIMBS 800 FEET.
1504,ACR CAPT RPTS INACCURACIES IN THE PHX ARPT DIAGRAM BETWEEN THE RAMP AND TXWY S.
861,FO FAILS TO PERFORM PNF FUNCTIONS DURING GAR. REPORTER/CAPTAIN IS CONCERNED THAT INEXPERIENCED FIRST OFFICERS ARE FLYING REVENUE TRIPS WITH INSUFFICIENT TRAINING.
1166,AN ACR PILOT REPORTS EVASIVE ACTION ON A VMC FINAL APCH WHEN ANOTHER ACR ACFT OVERSHOT ITS ASSIGNED RWY.
