********* TRAJECTORY OUTPUT DATA *********
** Output Format:
** simulation_start_time
** 
** AC,flight_index,callsign,actype,origin_airport,destination_airport,start_time,simulation_interval_ground,simulation_interval_airborne,cruise_altitude_ft,cruise_tas_knots,origin_airport_elevation_ft,destination_airport_elevation_ft,number_of_trajectory_rec
** timestamp(UTC sec),latitude,longitude,altitude_ft,rocd_fps,tas_knots,tas_knots_ground,course,fpa,sector_index,sector_name,flight_phase

1121238067

AC,0,ULI-3AFSD3DC24,B733,KSFO,KPHX,0,1,10,33000,430,13,1135,120
0,37.621368408203125,-122.390060424804688,13,0,0,0,-152,0,110,ZOANC403M8,FLIGHT_PHASE_ORIGIN_GATE
10,37.6214942932128906,-122.389984130859375,13,0,5,5,-155.1068115234375,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
20,37.6216201782226562,-122.389915466308594,13,0,5,5,-155.275711059570312,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
30,37.6217422485351562,-122.389839172363281,13,0,5,5,-154.889556884765625,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
40,37.6218681335449219,-122.3897705078125,13,0,5,5,-155.372024536132812,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
50,37.6219902038574219,-122.389694213867188,13,0,5,5,-154.544586181640625,0,110,ZOANC403M8,FLIGHT_PHASE_PUSHBACK
60,37.6221237182617188,-122.389656066894531,13,0,5,5,-0.22748158872127533,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
70,37.6222610473632812,-122.389656066894531,13,0,5,5,-0.255835384130477905,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
80,37.6223983764648438,-122.389656066894531,13,0,5,5,-0.347577512264251709,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
90,37.6225357055664062,-122.389656066894531,13,0,5,5,-0.541899979114532471,0,110,ZOANC403M8,FLIGHT_PHASE_RAMP_DEPARTING
100,37.62261962890625,-122.3895263671875,13,0,18,18,101.910362243652344,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
110,37.6225204467773438,-122.388916015625,13,0,18,18,101.793548583984375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
120,37.6223068237304688,-122.388359069824219,13,0,18,18,117.91253662109375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
130,37.6220779418945312,-122.387809753417969,13,0,18,18,117.873519897460938,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
140,37.6218490600585938,-122.387260437011719,13,0,18,18,117.900474548339844,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
150,37.6216163635253906,-122.386711120605469,13,0,18,18,117.941696166992188,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
160,37.6213874816894531,-122.386161804199219,13,0,18,18,117.870269775390625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
170,37.62115478515625,-122.385612487792969,13,0,18,18,117.941032409667969,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
180,37.6209297180175781,-122.385063171386719,13,0,18,18,116.693840026855469,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
190,37.6207008361816406,-122.384513854980469,13,0,18,18,117.580108642578125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
200,37.6204757690429688,-122.383964538574219,13,0,18,18,117.416481018066406,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
210,37.6202507019042969,-122.383407592773438,13,0,18,18,117.116691589355469,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
220,37.620025634765625,-122.382850646972656,13,0,18,18,117.22296142578125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
230,37.6198005676269531,-122.382301330566406,13,0,18,18,117.380393981933594,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
240,37.6195640563964844,-122.381759643554688,13,0,18,18,119.34307861328125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
250,37.61932373046875,-122.381217956542969,13,0,18,18,119.356666564941406,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
260,37.6190834045410156,-122.38067626953125,13,0,18,18,119.42034912109375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
270,37.6187782287597656,-122.380203247070312,13,0,18,18,145.446197509765625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
280,37.6183700561523438,-122.379852294921875,13,0,18,18,145.639434814453125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
290,37.617950439453125,-122.379562377929688,13,0,18,18,179.91119384765625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
300,37.6174583435058594,-122.379562377929688,13,0,18,18,179.904617309570312,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
310,37.6169662475585938,-122.379562377929688,13,0,18,18,179.831207275390625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
320,37.6165084838867188,-122.379753112792969,13,0,18,18,-153.7152099609375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
330,37.6160659790039062,-122.380027770996094,13,0,18,18,-153.654281616210938,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
340,37.6156234741210938,-122.380302429199219,13,0,18,18,-153.55218505859375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
350,37.6151847839355469,-122.380584716796875,13,0,18,18,-152.345062255859375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
360,37.6147499084472656,-122.380874633789062,13,0,18,18,-152.377456665039062,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
370,37.6143112182617188,-122.38116455078125,13,0,18,18,-152.5521240234375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
380,37.6138763427734375,-122.381446838378906,13,0,18,18,-152.133560180664062,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
390,37.6134414672851562,-122.381736755371094,13,0,18,18,-151.963150024414062,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
400,37.613006591796875,-122.382026672363281,13,0,18,18,-151.773483276367188,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
410,37.6125717163085938,-122.38232421875,13,0,18,18,-151.564788818359375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
420,37.6121330261230469,-122.382614135742188,13,0,18,18,-152.136611938476562,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
430,37.6116981506347656,-122.382904052734375,13,0,18,18,-151.9071044921875,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
440,37.6112632751464844,-122.383193969726562,13,0,18,18,-152.048324584960938,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
450,37.6108283996582031,-122.38348388671875,13,0,18,18,-151.85455322265625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
460,37.6103935241699219,-122.383781433105469,13,0,18,18,-151.694473266601562,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
470,37.6099662780761719,-122.384101867675781,13,0,18,18,-148.809173583984375,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
480,37.6095199584960938,-122.384353637695312,13,0,18,18,-170.605545043945312,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
490,37.6090354919433594,-122.384452819824219,13,0,18,18,-170.529449462890625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
500,37.608551025390625,-122.384559631347656,13,0,18,18,-170.365264892578125,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
510,37.608062744140625,-122.384567260742188,13,0,18,18,170.379013061523438,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
520,37.6075782775878906,-122.38446044921875,13,0,18,18,170.454666137695312,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
530,37.6071586608886719,-122.384147644042969,13,0,18,18,147.404220581054688,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
540,37.6067428588867188,-122.383811950683594,13,0,18,18,147.32623291015625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
550,37.60650634765625,-122.383285522460938,13,0,18,18,111.430259704589844,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
560,37.6063270568847656,-122.382705688476562,13,0,18,18,111.445167541503906,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
570,37.6061477661132812,-122.382125854492188,13,0,18,18,86.601959228515625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
580,37.6061782836914062,-122.381507873535156,13,0,18,18,86.5765533447265625,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
590,37.606353759765625,-122.381011962890625,13,0,18,18,27.1675701141357422,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
600,37.6067924499511719,-122.380729675292969,13,0,18,18,27.2376003265380859,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
610,37.6072311401367188,-122.380439758300781,13,0,18,18,27.3880023956298828,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
620,37.607452392578125,-122.380302429199219,13,0,18,18,26.8935451507568359,0,110,ZOANC403M8,FLIGHT_PHASE_TAXI_DEPARTING
630,37.607452392578125,-122.380302429199219,13,0,0,0,27.6800060272216797,0,110,ZOANC403M8,FLIGHT_PHASE_RUNWAY_THRESHOLD_DEPARTING
640,37.6076202392578125,-122.38018798828125,13,0,13.9074001312255859,13.9074001312255859,27.7472362518310547,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
650,37.6081275939941406,-122.379852294921875,13,0,27.8148002624511719,27.8148002624511719,27.7452106475830078,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
660,37.6089706420898438,-122.379295349121094,13,0,41.722198486328125,41.722198486328125,27.7462577819824219,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
670,37.6101493835449219,-122.378509521484375,13,0,55.6296005249023438,55.6296005249023438,27.7486686706542969,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
680,37.6116676330566406,-122.37750244140625,13,0,69.5370025634765625,69.5370025634765625,27.7469196319580078,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
690,37.6135215759277344,-122.376274108886719,13,0,83.4444046020507812,83.4444046020507812,27.7484149932861328,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
700,37.6157112121582031,-122.37481689453125,13,0,97.351806640625,97.351806640625,27.7515010833740234,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
710,37.6182403564453125,-122.373138427734375,13,0,111.259208679199219,111.259208679199219,27.7500762939453125,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
720,37.6211051940917969,-122.371238708496094,13,0,125.166610717773438,125.166610717773438,27.7523937225341797,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
730,37.6243057250976562,-122.369110107421875,13,0,139.074005126953125,139.074005126953125,27.7568492889404297,0,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
740,37.627838134765625,-122.36676025390625,476.24664306640625,46.3246650695800781,152.981399536132812,145.7989501953125,27.7561111450195312,17.6266002655029297,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
750,37.6315383911132812,-122.364303588867188,936.405029296875,46.0158348083496094,157.952499389648438,151.10107421875,27.7544689178466797,16.9374217987060547,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
760,37.6353683471679688,-122.36175537109375,1393.49560546875,45.7090644836425781,158.872802734375,152.155349731445312,27.7586860656738281,16.7208213806152344,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
770,37.6392250061035156,-122.35919189453125,1867.2137451171875,47.3718147277832031,164.508941650390625,156.0247802734375,27.7559738159179688,16.7357997894287109,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
780,37.6431732177734375,-122.3565673828125,2341.875,47.4661178588867188,166.734420776367188,159.193191528320312,27.7567577362060547,16.5397796630859375,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
790,37.6471977233886719,-122.353889465332031,2843.697998046875,50.1822929382324219,174.863128662109375,167.644912719726562,27.7574596405029297,16.6772651672363281,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
800,37.65142822265625,-122.35107421875,3387.33935546875,54.3641510009765625,186.405059814453125,178.983200073242188,27.7498855590820312,16.9564800262451172,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
810,37.6559333801269531,-122.34808349609375,3984.6767578125,59.7337303161621094,203.556884765625,195.7716064453125,27.7306308746337891,17.0646038055419922,110,ZOANC403M8,FLIGHT_PHASE_TAKEOFF
820,37.6611747741699219,-122.348793029785156,4656.384765625,68.062225341796875,231.363662719726562,232.679641723632812,-30.6623516082763672,17.1082859039306641,109,ZOANC403M7,FLIGHT_PHASE_CLIMBOUT
830,37.6666297912597656,-122.352882385253906,5363.99853515625,70.7613601684570312,240.425048828125,242.32781982421875,-30.6686210632324219,17.1166324615478516,109,ZOANC403M7,FLIGHT_PHASE_CLIMBOUT
840,37.6724815368652344,-122.357261657714844,6121.14501953125,75.7146530151367188,257.053955078125,259.82666015625,-30.6635360717773438,17.1304187774658203,109,ZOANC403M7,FLIGHT_PHASE_CLIMBOUT
850,37.6779251098632812,-122.361907958984375,6919.80419921875,78.6507034301757812,275.465057373046875,260.95635986328125,-154.577560424804688,16.5899162292480469,109,ZOANC403M7,FLIGHT_PHASE_CLIMBOUT
860,37.6717491149902344,-122.365615844726562,7705.3740234375,78.5570068359375,275.679229736328125,261.1705322265625,-154.577667236328125,16.5563373565673828,108,ZOANC403M6,FLIGHT_PHASE_CLIMBOUT
870,37.6655311584472656,-122.369346618652344,8477.1962890625,77.1822586059570312,278.821502685546875,262.371368408203125,-154.57977294921875,16.0702648162841797,107,ZOANC403M5,FLIGHT_PHASE_CLIMBOUT
880,37.6592216491699219,-122.373130798339844,9235.1142578125,75.79180908203125,282.147369384765625,265.469085693359375,-154.581558227539062,15.5824565887451172,107,ZOANC403M5,FLIGHT_PHASE_CLIMBOUT
890,37.6528205871582031,-122.376976013183594,9979.13671875,74.4022903442382812,285.558013916015625,268.74005126953125,-154.5831298828125,15.1027317047119141,107,ZOANC403M5,FLIGHT_PHASE_CLIMBOUT
900,37.6460914611816406,-122.381011962890625,10000,2.08632802963256836,288.9061279296875,272.15142822265625,-154.586227416992188,0.413763582706451416,107,ZOANC403M5,FLIGHT_PHASE_CLIMBOUT
910,37.6395835876464844,-122.384918212890625,10730,73,289,272.567901611328125,-154.588241577148438,14.6311330795288086,106,ZOANC403M4,FLIGHT_PHASE_CLIMB_TO_CRUISE_ALTITUDE
